genotype	panicle_leaf
SAP_PI656016.C00TDABXX.3.A2	0.081145584725537
SAP_PI576386.B064FABXX.2.H11	0.11494551115723924
SAP_PI656075.C00TDABXX.2.A12	0.13248594475678319
SAP_PI533938.C00TDABXX.2.E1	0.11852318019718901
SAP_PI656088.C00TDABXX.3.F1	0.09020618556701031
SAP_PI533866.B064FABXX.2.B10	0.0851218624954529
SAP_PI656093.C00TDABXX.1.B9	0.2056942438621828
SAP_PI576385.C00TDABXX.2.E9	0.19929453262786595
SAP_PI597949.C00TDABXX.2.E10	0.33878684982250346
SAP_PI533807.C00TDABXX.1.E8	0.1071947985285311
SAP_PI655996.C00TDABXX.3.D10	0.09834007532431302
SAP_PI656031.C00TDABXX.3.G3	0.12167879505838551
SAP_PI534037.C00TDABXX.1.E9	0.246207544636864
SAP_PI533986.C00TDABXX.1.G10	0.2191780821917808
SAP_PI656106.C00TDABXX.2.E5	0.09976278334211913
SAP_PI533961.C00TDABXX.1.D7	0.12346602813528884
SAP_PI597945.C00TDABXX.2.C7	0.06669150521609538
SAP_PI656100.C00TDABXX.1.H12	0.10534439513795099
SAP_PI656014.C00TDABXX.3.E11	0.23504795117698343
SAP_PI534105.C00TDABXX.2.A4	0.13072453861927547
SAP_PI595743.C00TDABXX.2.B11	0.13759479956663057
SAP_PI533876.C00TDABXX.2.G1	0.3481858688733291
SAP_PI533856.C00TDABXX.1.F12	0.07051043911137529
SAP_PI533852.B064FABXX.2.E8	0.3155188246097337
SAP_PI533785.C00TDABXX.1.C9	0.30060834906649886
SAP_PI533758.C00TDABXX.1.F11	0.18833009998507685
SAP_PI656094.C00TDABXX.1.D9	0.22873730043541365
SAP_PI534145.C00TDABXX.1.G6	0.26254089422028354
SAP_PI656070.B064FABXX.2.B4	0.12918716327008667
SAP_PI597965.B064FABXX.2.G5	0.15455917223539556
SAP_PI576422.C00TDABXX.2.B10	0.18966395112016293
SAP_PI656104.C00TDABXX.2.B3	0.3195761293920803
SAP_PI534070.C00TDABXX.1.A9	0.22797373644831273
SAP_PI656011.C00TDABXX.3.B7	0.12248673985444677
SAP_PI656082.B064FABXX.2.A10	0.12146555157307845
SAP_PI533754.C00TDABXX.1.F9	0.14748299319727892
SAP_PI656030.C00TDABXX.3.D12	0.24483068624513035
SAP_PI533970.C00TDABXX.2.A6	0.09839042509286008
SAP_PI534123.C00TDABXX.1.A4	0.1410937627728276
SAP_PI656105.C00TDABXX.2.B4	0.07311586051743532
SAP_PI656110.C00TDABXX.1.B2	0.1652095654409874
SAP_PI533810.C00TDABXX.1.A8	0.12640222042326818
