genotype	stem
SAP_PI656016.C00TDABXX.3.A2	1990
SAP_PI576386.B064FABXX.2.H11	1109
SAP_PI656075.C00TDABXX.2.A12	1406
SAP_PI533938.C00TDABXX.2.E1	1509
SAP_PI656088.C00TDABXX.3.F1	1606
SAP_PI533866.B064FABXX.2.B10	487
SAP_PI656093.C00TDABXX.1.B9	1113
SAP_PI576385.C00TDABXX.2.E9	910
SAP_PI597949.C00TDABXX.2.E10	1044
SAP_PI533807.C00TDABXX.1.E8	2826
SAP_PI655996.C00TDABXX.3.D10	1287
SAP_PI656031.C00TDABXX.3.G3	1649
SAP_PI534037.C00TDABXX.1.E9	1951
SAP_PI533986.C00TDABXX.1.G10	1884
SAP_PI656106.C00TDABXX.2.E5	1660
SAP_PI533961.C00TDABXX.1.D7	906
SAP_PI597945.C00TDABXX.2.C7	973
SAP_PI656100.C00TDABXX.1.H12	1547
SAP_PI656014.C00TDABXX.3.E11	2543
SAP_PI534105.C00TDABXX.2.A4	1207
SAP_PI595743.C00TDABXX.2.B11	1543
SAP_PI533876.C00TDABXX.2.G1	531
SAP_PI533856.C00TDABXX.1.F12	1124
SAP_PI533852.B064FABXX.2.E8	645
SAP_PI533785.C00TDABXX.1.C9	1217
SAP_PI533758.C00TDABXX.1.F11	1331
SAP_PI656094.C00TDABXX.1.D9	816
SAP_PI534145.C00TDABXX.1.G6	649
SAP_PI656070.B064FABXX.2.B4	1631
SAP_PI597965.B064FABXX.2.G5	1342
SAP_PI576422.C00TDABXX.2.B10	1476
SAP_PI656104.C00TDABXX.2.B3	1423
SAP_PI534070.C00TDABXX.1.A9	1824
SAP_PI656011.C00TDABXX.3.B7	1233
SAP_PI656082.B064FABXX.2.A10	963
SAP_PI533754.C00TDABXX.1.F9	819
SAP_PI656030.C00TDABXX.3.D12	823
SAP_PI533970.C00TDABXX.2.A6	2596
SAP_PI534123.C00TDABXX.1.A4	3314
SAP_PI656105.C00TDABXX.2.B4	1079
SAP_PI656110.C00TDABXX.1.B2	2820
SAP_PI533810.C00TDABXX.1.A8	1530
SAP_PI534099.C00TDABXX.2.H5	1316
SAP_PI656048.C00TDABXX.1.E1	1128
SAP_PI533985.C00TDABXX.2.F5	1947
SAP_PI597957.C00TDABXX.2.A11	761
SAP_PI533757.C00TDABXX.1.C6	288
SAP_PI533964.C00TDABXX.2.H6	1452
SAP_PI533814.C00TDABXX.1.B8	1733
SAP_PI607931.C00TDABXX.1.F1	1328
SAP_PI534108.C00TDABXX.2.D4	1392
SAP_PI576428.C00TDABXX.2.D8	857
SAP_PI533845.B064FABXX.2.A8	930
SAP_PI595740.B064FABXX.2.D10	1387
SAP_PI656019.C00TDABXX.3.F2	881
SAP_PI533877.C00TDABXX.1.C11	592
SAP_PI564164.C00TDABXX.3.B10	1556
SAP_PI595702.C00TDABXX.2.C5	885
SAP_PI656058.C00TDABXX.3.D3	1661
SAP_PI534097.C00TDABXX.2.E3	955
SAP_PI595718.C00TDABXX.2.H11	1376
SAP_PI533955.C00TDABXX.2.E4	572
SAP_PI656055.C00TDABXX.3.G6	2037
SAP_PI534104.C00TDABXX.2.C4	1076
SAP_PI533910.C00TDABXX.1.E5	1313
SAP_PI576359.C00TDABXX.2.D7	1330
SAP_PI533912.C00TDABXX.1.B6	719
SAP_PI533976.C00TDABXX.2.G4	2199
SAP_PI534117.C00TDABXX.1.F2	1903
SAP_PI576332.C00TDABXX.2.H2	509
SAP_PI595741.C00TDABXX.2.D9	942
SAP_PI656116.B064FABXX.2.A6	1111
SAP_PI534157.C00TDABXX.1.F7	1531
SAP_PI656010.C00TDABXX.3.F9	898
SAP_PI534163.C00TDABXX.1.B3	1888
SAP_PI533967.C00TDABXX.2.A7	1688
SAP_PI656079.C00TDABXX.2.H12	1113
SAP_PI655998.C00TDABXX.1.G3	1004
SAP_PI576381.C00TDABXX.2.H8	1321
SAP_PI533943.C00TDABXX.1.D12	2690
SAP_PI656042.C00TDABXX.3.F8	1140
SAP_PI576390.C00TDABXX.1.H7	1236
SAP_PI533750.C00TDABXX.1.D8	1318
SAP_PI576340.C00TDABXX.2.F4	1893
SAP_PI656068.C00TDABXX.3.E3	2425
SAP_PI656109.C00TDABXX.1.F6	1158
SAP_PI629059.C00TDABXX.3.E2	1293
SAP_PI655974.C00TDABXX.3.C8	3371
SAP_PI656120.B064FABXX.2.B3	2617
SAP_PI533759.C00TDABXX.1.C7	1024
SAP_PI655975.B064FABXX.2.A4	1177
SAP_PI656027.C00TDABXX.3.G4	2604
SAP_PI534116.C00TDABXX.3.H8	484
SAP_PI534054.C00TDABXX.2.B5	1594
SAP_PI597967.B064FABXX.2.D3	1533
SAP_PI533948.C00TDABXX.2.A5	1582
SAP_PI595744.C00TDABXX.2.D11	2115
SAP_PI656108.C00TDABXX.2.B7	2265
SAP_PI597964.C00TDABXX.2.C12	1734
SAP_PI597982.B064FABXX.2.B11	1130
SAP_PI533979.C00TDABXX.2.G3	930
SAP_PI534124.C00TDABXX.1.B4	1194
SAP_PI656051.C00TDABXX.3.F5	885
SAP_PI533987.C00TDABXX.2.F1	738
SAP_PI576425.C00TDABXX.2.H10	544
SAP_PI597952.C00TDABXX.2.D6	760
SAP_PI655976.C00TDABXX.3.C9	921
SAP_PI576348.C00TDABXX.2.F7	1652
SAP_PI595699.C00TDABXX.2.E7	1134
SAP_PI533996.C00TDABXX.2.A1	1361
SAP_PI656121.B064FABXX.2.A3	2563
SAP_PI576350.B064FABXX.2.F8	1448
SAP_PI597972.B064FABXX.2.F4	903
SAP_PI576394.C00TDABXX.2.C6	1605
SAP_PI656096.C00TDABXX.1.B11	1674
SAP_PI656085.B064FABXX.2.E12	1258
SAP_PI576373.C00TDABXX.2.E6	1504
SAP_PI656071.B064FABXX.2.B12	2145
SAP_PI576387.C00TDABXX.2.C9	1759
SAP_PI533755.C00TDABXX.1.D5	721
SAP_PI656119.B064FABXX.2.C1	2399
SAP_PI656118.B064FABXX.2.D8	1479
SAP_PI533841.B064FABXX.2.B8	533
SAP_PI576339.C00TDABXX.2.D5	1089
SAP_PI533965.C00TDABXX.1.B7	1313
SAP_PI533761.C00TDABXX.1.F10	1993
SAP_PI576401.B064FABXX.2.C12	1325
SAP_PI656022.C00TDABXX.3.H2	1524
SAP_PI576347.C00TDABXX.2.G7	1293
SAP_PI561073.C00TDABXX.1.A1	2589
SAP_PI534148.B064FABXX.2.H9	1538
SAP_PI656115.B064FABXX.2.H5	1923
SAP_PI576375.C00TDABXX.2.E8	2367
SAP_PI576364.C00TDABXX.2.G6	1055
SAP_PI656001.C00TDABXX.3.A11	1860
SAP_PI656095.C00TDABXX.1.H10	2473
SAP_PI534053.C00TDABXX.2.H1	1461
SAP_PI576345.C00TDABXX.2.F3	1082
SAP_PI597976.B064FABXX.2.A11	1196
SAP_PI656046.C00TDABXX.3.H4	1838
SAP_PI533799.B064FABXX.2.F6	1422
SAP_PI533776.B064FABXX.2.B9	1264
SAP_PI534096.C00TDABXX.2.F2	1406
SAP_PI656097.B064FABXX.2.C10	1686
SAP_PI655979.C00TDABXX.3.H10	895
SAP_PI656059.C00TDABXX.3.G5	2033
SAP_PI533919.C00TDABXX.1.E7	1905
SAP_PI534114.C00TDABXX.1.E2	1046
SAP_PI656078.C00TDABXX.2.G12	1138
SAP_PI595739.C00TDABXX.2.B9	1314
SAP_PI533901.C00TDABXX.1.G11	785
SAP_PI533766.C00TDABXX.1.H8	430
SAP_PI533838.B064FABXX.2.C8	1488
SAP_PI534115.B064FABXX.2.A12	993
SAP_PI656069.C00TDABXX.3.H6	1404
SAP_PI533997.C00TDABXX.1.C12	1876
SAP_PI533980.C00TDABXX.2.C2	1104
SAP_PI656062.B064FABXX.2.H4	2125
SAP_PI656087.C00TDABXX.3.E1	591
SAP_PI533911.C00TDABXX.1.G5	948
SAP_PI576393.C00TDABXX.1.H4	1465
SAP_PI641874.B064FABXX.2.C9	978
SAP_PI656053.C00TDABXX.3.C2	1779
SAP_PI656018.C00TDABXX.3.D2	1053
SAP_PI597950.C00TDABXX.1.B12	1230
SAP_PI552861.C00TDABXX.1.C3	1839
SAP_PI655971.B064FABXX.2.E7	1687
SAP_PI533902.C00TDABXX.1.H3	1326
SAP_PI656056.B064FABXX.2.C4	2391
SAP_PI534101.C00TDABXX.2.B6	1230
SAP_PI533956.C00TDABXX.2.C3	1918
SAP_PI534063.B064FABXX.2.E5	1400
SAP_PI597960.C00TDABXX.2.G9	904
SAP_PI542718.C00TDABXX.2.C10	1233
SAP_PI655978.C00TDABXX.3.G9	1614
SAP_PI533863.C00TDABXX.1.A10	1610
SAP_PI534155.C00TDABXX.1.A3	1775
SAP_PI613536.C00TDABXX.1.E3	1565
SAP_PI533940.C00TDABXX.2.A3	1469
SAP_PI656041.C00TDABXX.3.F12	2546
SAP_PI534009.C00TDABXX.1.A12	1379
SAP_PI655977.C00TDABXX.3.D9	1002
SAP_PI533752.C00TDABXX.1.H6	962
SAP_PI597971.B064FABXX.2.E10	685
SAP_PI656024.B064FABXX.2.F12	1779
SAP_PI597966.C00TDABXX.2.E11	444
SAP_PI656102.C00TDABXX.1.H5	2199
SAP_PI533962.C00TDABXX.1.A6	2432
SAP_PI533800.C00TDABXX.1.G7	2025
SAP_PI576349.C00TDABXX.2.H7	1773
SAP_PI533824.B064FABXX.2.C5	1019
SAP_PI576435.C00TDABXX.2.D10	2025
SAP_PI533794.C00TDABXX.1.C2	1687
SAP_PI656114.B064FABXX.2.A5	1150
SAP_PI533878.B064FABXX.2.E2	767
SAP_PI533939.C00TDABXX.2.D1	886
SAP_PI533957.C00TDABXX.1.D10	1784
SAP_PI576376.C00TDABXX.2.F8	2088
SAP_PI585295.C00TDABXX.1.B1	1505
SAP_PI656076.B064FABXX.2.D12	1207
SAP_PI597968.C00TDABXX.2.D12	542
SAP_PI656044.B064FABXX.2.B7	1712
SAP_PI533924.B064FABXX.2.B5	1025
SAP_PI533869.C00TDABXX.1.G1	518
SAP_PI564165.C00TDABXX.3.C10	1562
SAP_PI597973.C00TDABXX.2.E12	1015
SAP_PI533833.C00TDABXX.1.H9	1134
SAP_PI656000.C00TDABXX.3.A10	1607
SAP_PI656089.C00TDABXX.3.G1	2316
SAP_PI534138.B064FABXX.2.F7	1053
SAP_PI576333.C00TDABXX.2.H4	1110
SAP_PI656077.C00TDABXX.2.F12	1019
SAP_PI533991.B064FABXX.2.H12	1727
SAP_PI656117.B064FABXX.2.F1	2044
SAP_PI656026.C00TDABXX.3.H5	1972
SAP_PI576418.C00TDABXX.2.F10	2207
SAP_PI534127.C00TDABXX.1.C4	2728
SAP_PI656004.B064FABXX.2.G12	1132
SAP_PI656037.C00TDABXX.3.D4	2135
SAP_PI534137.C00TDABXX.1.B5	729
SAP_PI533842.C00TDABXX.1.G8	1271
SAP_PI655993.C00TDABXX.3.F3	873
SAP_PI533937.C00TDABXX.2.H3	883
SAP_PI533769.C00TDABXX.1.E11	1013
SAP_PI595714.C00TDABXX.2.A10	1670
SAP_PI656034.C00TDABXX.3.E8	2485
SAP_PI534112.C00TDABXX.1.E10	1235
