genotype	stem_leaf
SAP_PI656016.C00TDABXX.3.A2	0.21588197005858104
SAP_PI576386.B064FABXX.2.H11	0.28775298391281784
SAP_PI656075.C00TDABXX.2.A12	0.1718406257638719
SAP_PI533938.C00TDABXX.2.E1	0.31655129011957206
SAP_PI656088.C00TDABXX.3.F1	0.15330278732340588
SAP_PI533866.B064FABXX.2.B10	0.17715532921062205
SAP_PI656093.C00TDABXX.1.B9	0.2296265731380235
SAP_PI576385.C00TDABXX.2.E9	0.32098765432098764
SAP_PI597949.C00TDABXX.2.E10	0.1611359777743479
SAP_PI533807.C00TDABXX.1.E8	0.24176576268286423
SAP_PI655996.C00TDABXX.3.D10	0.17952294601757568
SAP_PI656031.C00TDABXX.3.G3	0.13953291589101371
SAP_PI534037.C00TDABXX.1.E9	0.26191435091958654
SAP_PI533986.C00TDABXX.1.G10	0.30009557183816504
SAP_PI656106.C00TDABXX.2.E5	0.2187664733790195
SAP_PI533961.C00TDABXX.1.D7	0.135588147261299
SAP_PI597945.C00TDABXX.2.C7	0.12083954297069051
SAP_PI656100.C00TDABXX.1.H12	0.14923789311209723
SAP_PI656014.C00TDABXX.3.E11	0.22170880557977332
SAP_PI534105.C00TDABXX.2.A4	0.20625427204374572
SAP_PI595743.C00TDABXX.2.B11	0.15197478577760268
SAP_PI533876.C00TDABXX.2.G1	0.33800127307447486
SAP_PI533856.C00TDABXX.1.F12	0.08351289100230329
SAP_PI533852.B064FABXX.2.E8	0.1184573002754821
SAP_PI533785.C00TDABXX.1.C9	0.2552968323893434
SAP_PI533758.C00TDABXX.1.F11	0.19862707058647963
SAP_PI656094.C00TDABXX.1.D9	0.23686502177068214
SAP_PI534145.C00TDABXX.1.G6	0.17693565976008724
SAP_PI656070.B064FABXX.2.B4	0.19102834387444367
SAP_PI597965.B064FABXX.2.G5	0.14464324207803406
SAP_PI576422.C00TDABXX.2.B10	0.3757637474541752
SAP_PI656104.C00TDABXX.2.B3	0.3968209704406023
SAP_PI534070.C00TDABXX.1.A9	0.27851580393953274
SAP_PI656011.C00TDABXX.3.B7	0.1520907857407179
SAP_PI656082.B064FABXX.2.A10	0.12783751493428913
SAP_PI533754.C00TDABXX.1.F9	0.22285714285714286
SAP_PI656030.C00TDABXX.3.D12	0.2466287084207372
SAP_PI533970.C00TDABXX.2.A6	0.21427981840693355
SAP_PI534123.C00TDABXX.1.A4	0.2709065642115589
SAP_PI656105.C00TDABXX.2.B4	0.1517154105736783
