genotype	leaf
SAP_PI656016.C00TDABXX.3.A2	9218
SAP_PI576386.B064FABXX.2.H11	3854
SAP_PI656075.C00TDABXX.2.A12	8182
SAP_PI533938.C00TDABXX.2.E1	4767
SAP_PI656088.C00TDABXX.3.F1	10476
SAP_PI533866.B064FABXX.2.B10	2749
SAP_PI656093.C00TDABXX.1.B9	4847
SAP_PI576385.C00TDABXX.2.E9	2835
SAP_PI597949.C00TDABXX.2.E10	6479
SAP_PI533807.C00TDABXX.1.E8	11689
SAP_PI655996.C00TDABXX.3.D10	7169
SAP_PI656031.C00TDABXX.3.G3	11818
SAP_PI534037.C00TDABXX.1.E9	7449
SAP_PI533986.C00TDABXX.1.G10	6278
SAP_PI656106.C00TDABXX.2.E5	7588
SAP_PI533961.C00TDABXX.1.D7	6682
SAP_PI597945.C00TDABXX.2.C7	8052
SAP_PI656100.C00TDABXX.1.H12	10366
SAP_PI656014.C00TDABXX.3.E11	11470
SAP_PI534105.C00TDABXX.2.A4	5852
SAP_PI595743.C00TDABXX.2.B11	10153
SAP_PI533876.C00TDABXX.2.G1	1571
SAP_PI533856.C00TDABXX.1.F12	13459
SAP_PI533852.B064FABXX.2.E8	5445
SAP_PI533785.C00TDABXX.1.C9	4767
SAP_PI533758.C00TDABXX.1.F11	6701
SAP_PI656094.C00TDABXX.1.D9	3445
SAP_PI534145.C00TDABXX.1.G6	3668
SAP_PI656070.B064FABXX.2.B4	8538
SAP_PI597965.B064FABXX.2.G5	9278
SAP_PI576422.C00TDABXX.2.B10	3928
SAP_PI656104.C00TDABXX.2.B3	3586
SAP_PI534070.C00TDABXX.1.A9	6549
SAP_PI656011.C00TDABXX.3.B7	8107
SAP_PI656082.B064FABXX.2.A10	7533
SAP_PI533754.C00TDABXX.1.F9	3675
SAP_PI656030.C00TDABXX.3.D12	3337
SAP_PI533970.C00TDABXX.2.A6	12115
SAP_PI534123.C00TDABXX.1.A4	12233
SAP_PI656105.C00TDABXX.2.B4	7112
SAP_PI656110.C00TDABXX.1.B2	7778
SAP_PI533810.C00TDABXX.1.A8	8647
SAP_PI534099.C00TDABXX.2.H5	9911
SAP_PI656048.C00TDABXX.1.E1	4968
SAP_PI533985.C00TDABXX.2.F5	11311
SAP_PI597957.C00TDABXX.2.A11	6797
SAP_PI533757.C00TDABXX.1.C6	7156
SAP_PI533964.C00TDABXX.2.H6	9414
SAP_PI533814.C00TDABXX.1.B8	11393
SAP_PI607931.C00TDABXX.1.F1	9678
SAP_PI534108.C00TDABXX.2.D4	8689
SAP_PI576428.C00TDABXX.2.D8	13378
SAP_PI533845.B064FABXX.2.A8	4179
SAP_PI595740.B064FABXX.2.D10	8402
SAP_PI656019.C00TDABXX.3.F2	4351
SAP_PI533877.C00TDABXX.1.C11	3309
SAP_PI564164.C00TDABXX.3.B10	6146
SAP_PI595702.C00TDABXX.2.C5	2244
SAP_PI656058.C00TDABXX.3.D3	10204
SAP_PI534097.C00TDABXX.2.E3	4760
SAP_PI595718.C00TDABXX.2.H11	6849
SAP_PI533955.C00TDABXX.2.E4	5072
SAP_PI656055.C00TDABXX.3.G6	9624
SAP_PI534104.C00TDABXX.2.C4	5275
SAP_PI533910.C00TDABXX.1.E5	7749
SAP_PI576359.C00TDABXX.2.D7	4665
SAP_PI533912.C00TDABXX.1.B6	1505
SAP_PI533976.C00TDABXX.2.G4	11751
SAP_PI534117.C00TDABXX.1.F2	8507
SAP_PI576332.C00TDABXX.2.H2	1461
SAP_PI595741.C00TDABXX.2.D9	3903
SAP_PI656116.B064FABXX.2.A6	6764
SAP_PI534157.C00TDABXX.1.F7	9083
SAP_PI656010.C00TDABXX.3.F9	6449
SAP_PI534163.C00TDABXX.1.B3	13998
SAP_PI533967.C00TDABXX.2.A7	8823
SAP_PI656079.C00TDABXX.2.H12	6428
SAP_PI655998.C00TDABXX.1.G3	3892
SAP_PI576381.C00TDABXX.2.H8	9128
SAP_PI533943.C00TDABXX.1.D12	14606
SAP_PI656042.C00TDABXX.3.F8	5555
SAP_PI576390.C00TDABXX.1.H7	4937
SAP_PI533750.C00TDABXX.1.D8	9220
SAP_PI576340.C00TDABXX.2.F4	8360
SAP_PI656068.C00TDABXX.3.E3	15473
SAP_PI656109.C00TDABXX.1.F6	5626
SAP_PI629059.C00TDABXX.3.E2	7591
SAP_PI655974.C00TDABXX.3.C8	8161
SAP_PI656120.B064FABXX.2.B3	14909
SAP_PI533759.C00TDABXX.1.C7	7843
SAP_PI655975.B064FABXX.2.A4	7408
SAP_PI656027.C00TDABXX.3.G4	13505
SAP_PI534116.C00TDABXX.3.H8	2306
SAP_PI534054.C00TDABXX.2.B5	9892
SAP_PI597967.B064FABXX.2.D3	11153
SAP_PI533948.C00TDABXX.2.A5	6383
SAP_PI595744.C00TDABXX.2.D11	10821
SAP_PI656108.C00TDABXX.2.B7	7236
SAP_PI597964.C00TDABXX.2.C12	7554
SAP_PI597982.B064FABXX.2.B11	4116
SAP_PI533979.C00TDABXX.2.G3	2034
SAP_PI534124.C00TDABXX.1.B4	3364
SAP_PI656051.C00TDABXX.3.F5	2600
SAP_PI533987.C00TDABXX.2.F1	3371
SAP_PI576425.C00TDABXX.2.H10	5870
SAP_PI597952.C00TDABXX.2.D6	8471
SAP_PI655976.C00TDABXX.3.C9	6928
SAP_PI576348.C00TDABXX.2.F7	6946
SAP_PI595699.C00TDABXX.2.E7	7826
SAP_PI533996.C00TDABXX.2.A1	8505
SAP_PI656121.B064FABXX.2.A3	6883
SAP_PI576350.B064FABXX.2.F8	7002
SAP_PI597972.B064FABXX.2.F4	7671
SAP_PI576394.C00TDABXX.2.C6	7753
SAP_PI656096.C00TDABXX.1.B11	5218
SAP_PI656085.B064FABXX.2.E12	8071
SAP_PI576373.C00TDABXX.2.E6	9006
SAP_PI656071.B064FABXX.2.B12	11894
SAP_PI576387.C00TDABXX.2.C9	3819
SAP_PI533755.C00TDABXX.1.D5	3684
SAP_PI656119.B064FABXX.2.C1	7270
SAP_PI656118.B064FABXX.2.D8	11383
SAP_PI533841.B064FABXX.2.B8	2445
SAP_PI576339.C00TDABXX.2.D5	3820
SAP_PI533965.C00TDABXX.1.B7	9885
SAP_PI533761.C00TDABXX.1.F10	9958
SAP_PI576401.B064FABXX.2.C12	13649
SAP_PI656022.C00TDABXX.3.H2	3662
SAP_PI576347.C00TDABXX.2.G7	4223
SAP_PI561073.C00TDABXX.1.A1	15827
SAP_PI534148.B064FABXX.2.H9	9083
SAP_PI656115.B064FABXX.2.H5	9368
SAP_PI576375.C00TDABXX.2.E8	9316
SAP_PI576364.C00TDABXX.2.G6	5958
SAP_PI656001.C00TDABXX.3.A11	7341
SAP_PI656095.C00TDABXX.1.H10	6775
SAP_PI534053.C00TDABXX.2.H1	7324
SAP_PI576345.C00TDABXX.2.F3	6474
SAP_PI597976.B064FABXX.2.A11	7620
SAP_PI656046.C00TDABXX.3.H4	5615
SAP_PI533799.B064FABXX.2.F6	7665
SAP_PI533776.B064FABXX.2.B9	5147
SAP_PI534096.C00TDABXX.2.F2	5864
SAP_PI656097.B064FABXX.2.C10	11410
SAP_PI655979.C00TDABXX.3.H10	5537
SAP_PI656059.C00TDABXX.3.G5	13181
SAP_PI533919.C00TDABXX.1.E7	11555
SAP_PI534114.C00TDABXX.1.E2	6332
SAP_PI656078.C00TDABXX.2.G12	6539
SAP_PI595739.C00TDABXX.2.B9	8631
SAP_PI533901.C00TDABXX.1.G11	3431
SAP_PI533766.C00TDABXX.1.H8	2927
SAP_PI533838.B064FABXX.2.C8	6572
SAP_PI534115.B064FABXX.2.A12	5808
SAP_PI656069.C00TDABXX.3.H6	12070
SAP_PI533997.C00TDABXX.1.C12	5280
SAP_PI533980.C00TDABXX.2.C2	5564
SAP_PI656062.B064FABXX.2.H4	12491
SAP_PI656087.C00TDABXX.3.E1	4534
SAP_PI533911.C00TDABXX.1.G5	8744
SAP_PI576393.C00TDABXX.1.H4	3228
SAP_PI641874.B064FABXX.2.C9	8666
SAP_PI656053.C00TDABXX.3.C2	7489
SAP_PI656018.C00TDABXX.3.D2	4932
SAP_PI597950.C00TDABXX.1.B12	3446
SAP_PI552861.C00TDABXX.1.C3	9972
SAP_PI655971.B064FABXX.2.E7	7405
SAP_PI533902.C00TDABXX.1.H3	9626
SAP_PI656056.B064FABXX.2.C4	13172
SAP_PI534101.C00TDABXX.2.B6	6656
SAP_PI533956.C00TDABXX.2.C3	5532
SAP_PI534063.B064FABXX.2.E5	6937
SAP_PI597960.C00TDABXX.2.G9	7325
SAP_PI542718.C00TDABXX.2.C10	5926
SAP_PI655978.C00TDABXX.3.G9	7531
SAP_PI533863.C00TDABXX.1.A10	6992
SAP_PI534155.C00TDABXX.1.A3	8531
SAP_PI613536.C00TDABXX.1.E3	6265
SAP_PI533940.C00TDABXX.2.A3	4941
SAP_PI656041.C00TDABXX.3.F12	17560
SAP_PI534009.C00TDABXX.1.A12	9630
SAP_PI655977.C00TDABXX.3.D9	14871
