genotype	panicle
SAP_PI656016.C00TDABXX.3.A2	748
SAP_PI576386.B064FABXX.2.H11	443
SAP_PI656075.C00TDABXX.2.A12	1084
SAP_PI533938.C00TDABXX.2.E1	565
SAP_PI656088.C00TDABXX.3.F1	945
SAP_PI533866.B064FABXX.2.B10	234
SAP_PI656093.C00TDABXX.1.B9	997
SAP_PI576385.C00TDABXX.2.E9	565
SAP_PI597949.C00TDABXX.2.E10	2195
SAP_PI533807.C00TDABXX.1.E8	1253
SAP_PI655996.C00TDABXX.3.D10	705
SAP_PI656031.C00TDABXX.3.G3	1438
SAP_PI534037.C00TDABXX.1.E9	1834
SAP_PI533986.C00TDABXX.1.G10	1376
SAP_PI656106.C00TDABXX.2.E5	757
SAP_PI533961.C00TDABXX.1.D7	825
SAP_PI597945.C00TDABXX.2.C7	537
SAP_PI656100.C00TDABXX.1.H12	1092
SAP_PI656014.C00TDABXX.3.E11	2696
SAP_PI534105.C00TDABXX.2.A4	765
SAP_PI595743.C00TDABXX.2.B11	1397
SAP_PI533876.C00TDABXX.2.G1	547
SAP_PI533856.C00TDABXX.1.F12	949
SAP_PI533852.B064FABXX.2.E8	1718
SAP_PI533785.C00TDABXX.1.C9	1433
SAP_PI533758.C00TDABXX.1.F11	1262
SAP_PI656094.C00TDABXX.1.D9	788
SAP_PI534145.C00TDABXX.1.G6	963
SAP_PI656070.B064FABXX.2.B4	1103
SAP_PI597965.B064FABXX.2.G5	1434
SAP_PI576422.C00TDABXX.2.B10	745
SAP_PI656104.C00TDABXX.2.B3	1146
SAP_PI534070.C00TDABXX.1.A9	1493
SAP_PI656011.C00TDABXX.3.B7	993
SAP_PI656082.B064FABXX.2.A10	915
SAP_PI533754.C00TDABXX.1.F9	542
SAP_PI656030.C00TDABXX.3.D12	817
SAP_PI533970.C00TDABXX.2.A6	1192
SAP_PI534123.C00TDABXX.1.A4	1726
SAP_PI656105.C00TDABXX.2.B4	520
SAP_PI656110.C00TDABXX.1.B2	1285
SAP_PI533810.C00TDABXX.1.A8	1093
SAP_PI534099.C00TDABXX.2.H5	1259
SAP_PI656048.C00TDABXX.1.E1	328
SAP_PI533985.C00TDABXX.2.F5	558
SAP_PI597957.C00TDABXX.2.A11	764
SAP_PI533757.C00TDABXX.1.C6	552
SAP_PI533964.C00TDABXX.2.H6	905
SAP_PI533814.C00TDABXX.1.B8	669
SAP_PI607931.C00TDABXX.1.F1	765
SAP_PI534108.C00TDABXX.2.D4	593
SAP_PI576428.C00TDABXX.2.D8	1547
SAP_PI533845.B064FABXX.2.A8	914
SAP_PI595740.B064FABXX.2.D10	1345
SAP_PI656019.C00TDABXX.3.F2	803
SAP_PI533877.C00TDABXX.1.C11	1010
SAP_PI564164.C00TDABXX.3.B10	967
SAP_PI595702.C00TDABXX.2.C5	498
SAP_PI656058.C00TDABXX.3.D3	1904
SAP_PI534097.C00TDABXX.2.E3	578
SAP_PI595718.C00TDABXX.2.H11	1188
SAP_PI533955.C00TDABXX.2.E4	470
SAP_PI656055.C00TDABXX.3.G6	1506
SAP_PI534104.C00TDABXX.2.C4	883
SAP_PI533910.C00TDABXX.1.E5	805
SAP_PI576359.C00TDABXX.2.D7	1925
SAP_PI533912.C00TDABXX.1.B6	359
SAP_PI533976.C00TDABXX.2.G4	879
SAP_PI534117.C00TDABXX.1.F2	647
SAP_PI576332.C00TDABXX.2.H2	363
SAP_PI595741.C00TDABXX.2.D9	1100
SAP_PI656116.B064FABXX.2.A6	940
SAP_PI534157.C00TDABXX.1.F7	1090
SAP_PI656010.C00TDABXX.3.F9	1199
SAP_PI534163.C00TDABXX.1.B3	1625
SAP_PI533967.C00TDABXX.2.A7	1403
SAP_PI656079.C00TDABXX.2.H12	1221
SAP_PI655998.C00TDABXX.1.G3	408
SAP_PI576381.C00TDABXX.2.H8	1394
SAP_PI533943.C00TDABXX.1.D12	1091
SAP_PI656042.C00TDABXX.3.F8	770
SAP_PI576390.C00TDABXX.1.H7	1048
SAP_PI533750.C00TDABXX.1.D8	1468
SAP_PI576340.C00TDABXX.2.F4	748
SAP_PI656068.C00TDABXX.3.E3	1246
SAP_PI656109.C00TDABXX.1.F6	986
SAP_PI629059.C00TDABXX.3.E2	1585
SAP_PI655974.C00TDABXX.3.C8	472
SAP_PI656120.B064FABXX.2.B3	1892
SAP_PI533759.C00TDABXX.1.C7	761
SAP_PI655975.B064FABXX.2.A4	1010
SAP_PI656027.C00TDABXX.3.G4	673
SAP_PI534116.C00TDABXX.3.H8	813
SAP_PI534054.C00TDABXX.2.B5	603
SAP_PI597967.B064FABXX.2.D3	1017
SAP_PI533948.C00TDABXX.2.A5	1162
SAP_PI595744.C00TDABXX.2.D11	1276
SAP_PI656108.C00TDABXX.2.B7	1362
SAP_PI597964.C00TDABXX.2.C12	530
SAP_PI597982.B064FABXX.2.B11	932
SAP_PI533979.C00TDABXX.2.G3	288
SAP_PI534124.C00TDABXX.1.B4	312
SAP_PI656051.C00TDABXX.3.F5	431
SAP_PI533987.C00TDABXX.2.F1	519
SAP_PI576425.C00TDABXX.2.H10	1849
SAP_PI597952.C00TDABXX.2.D6	988
SAP_PI655976.C00TDABXX.3.C9	975
SAP_PI576348.C00TDABXX.2.F7	1695
SAP_PI595699.C00TDABXX.2.E7	1231
SAP_PI533996.C00TDABXX.2.A1	445
SAP_PI656121.B064FABXX.2.A3	1084
SAP_PI576350.B064FABXX.2.F8	671
SAP_PI597972.B064FABXX.2.F4	1550
SAP_PI576394.C00TDABXX.2.C6	616
SAP_PI656096.C00TDABXX.1.B11	500
